month,predicted_count,forecast_created_at,training_end_month,model_name
2026-07-01,321586,2026-07-22T20:58:06.002414,2026-06,gradient_boosting
2026-08-01,312489,2026-07-22T20:58:06.002414,2026-06,gradient_boosting
2026-09-01,312489,2026-07-22T20:58:06.002414,2026-06,gradient_boosting
2026-10-01,310599,2026-07-22T20:58:06.002414,2026-06,gradient_boosting
2026-11-01,310599,2026-07-22T20:58:06.002414,2026-06,gradient_boosting
2026-12-01,319696,2026-07-22T20:58:06.002414,2026-06,gradient_boosting
