month,predicted_count,forecast_created_at,training_end_month,model_name
2026-07-01,315877,2026-07-22T21:06:54.229414,2026-06,seasonal_naive
2026-08-01,304038,2026-07-22T21:06:54.229414,2026-06,seasonal_naive
2026-09-01,302684,2026-07-22T21:06:54.229414,2026-06,seasonal_naive
2026-10-01,336612,2026-07-22T21:06:54.229414,2026-06,seasonal_naive
2026-11-01,304905,2026-07-22T21:06:54.229414,2026-06,seasonal_naive
2026-12-01,332105,2026-07-22T21:06:54.229414,2026-06,seasonal_naive
